N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
170,KODEX 인버스,"5,390",55,-1.01%,0,"11,831","219,500",1.92,"25,431,518",N/A,N/A,
171,진원생명과학,"26,250","2,550",+10.76%,"1,000","11,716","44,631",8.04,"19,206,056",-89.59,-28.50,
172,KODEX 200TR,"10,120",70,+0.70%,0,"11,598","114,600",20.19,"162,398",N/A,N/A,
173,현대위아,"40,750",350,+0.87%,"5,000","11,082","27,195",10.80,"181,978",17.58,1.80,
174,롯데관광개발,"15,650",300,-1.88%,500,"10,842","69,276",6.41,"235,923",-23.75,-4.77,
175,현대오토에버,"51,300","3,100",+6.43%,500,"10,773","21,000",1.17,"608,718",18.73,11.71,
176,후성,"11,500",200,+1.77%,500,"10,650","92,607",4.78,"5,602,199",-766.67,3.85,
177,드림텍,"17,100",750,+4.59%,100,"10,618","62,095",21.58,"2,381,448",84.24,13.24,
178,대한유화,"162,500","1,500",-0.91%,"5,000","10,562","6,500",14.08,"226,555",12.59,6.11,
179,신세계인터내셔날,"147,500",500,-0.34%,"5,000","10,532","7,140",4.79,"44,721",17.00,12.98,
180,한국콜마,"45,900",450,+0.99%,500,"10,502","22,881",25.27,"141,146",47.71,6.39,
181,다우기술,"23,000",200,-0.86%,500,"10,319","44,867",22.92,"791,333",5.42,14.62,
182,금호타이어,"3,570",5,-0.14%,"5,000","10,255","287,260",4.44,"650,702",-7.33,-3.30,
183,이노션,"50,900",100,-0.20%,500,"10,180","20,000",28.63,"69,454",15.23,9.88,
184,코스맥스,"100,000",700,+0.70%,500,"10,050","10,050",22.63,"75,946",26.07,10.45,
185,휴켐스,"24,500",450,+1.87%,"1,000","10,015","40,879",8.87,"1,457,930",16.09,10.82,
186,KBSTAR 200,"31,685",305,+0.97%,0,"9,981","31,500",0.09,"798,960",N/A,N/A,
187,KODEX 코스닥150 레버리지,"13,950",270,+1.97%,0,"9,918","71,100",0.45,"11,096,477",N/A,N/A,
188,코오롱인더,"35,800",100,-0.28%,"5,000","9,658","26,979",16.88,"380,337",6.16,1.58,
189,대상,"27,150",550,+2.07%,"1,000","9,407","34,648",18.16,"274,475",7.26,11.17,
190,SK가스,"101,500","4,500",+4.64%,"5,000","9,369","9,230",8.69,"24,484",2.69,9.85,
191,아시아나항공,"4,130",145,+3.64%,"5,000","9,220","223,235",6.13,"3,223,742",-0.84,-90.67,
192,JB금융지주,"4,670",80,+1.74%,"5,000","9,199","196,983",39.06,"294,454",2.82,10.36,
193,SK디앤디,"48,200",200,-0.41%,"1,000","9,153","18,990",4.90,"301,050",9.91,12.66,
194,DGB금융지주,"5,370",10,+0.19%,"5,000","9,083","169,146",45.85,"584,419",2.92,7.31,
195,일진다이아,"63,000","3,200",+5.35%,"1,000","8,948","14,203",1.94,"742,186",127.02,8.06,
196,영풍,"484,000","1,500",+0.31%,"5,000","8,915","1,842",4.38,"1,972",3.99,7.40,
197,쿠쿠홈시스,"39,600","1,000",+2.59%,100,"8,885","22,437",4.18,"46,683",11.60,16.10,
198,롯데리츠,"5,120",30,+0.59%,500,"8,805","171,969",9.05,"188,808",59.53,1.64,
